size,pitch_length,price
A18,490,208
A19,520,210
A20,540,211
A21,570,215
A22,590,216
A23,620,217
A24,640,220
A25,670,220
A26,690,226
A27,720,227
A28,740,232
A29,770,233
A30,800,235
A31,820,252
A32,850,256
A33,870,262
A34,900,265
A35,920,276
A36,950,285
A37,970,288
A38,1000,291
A39,1020,295
A40,1050,300
A41,1070,301
A42,1100,308
A43,1130,314
A44,1150,322
A45,1180,325
A46,1200,332
A47,1230,335
A48,1250,341
A49,1280,347
A49.5,1290,348
A50,1300,352
A51,1330,355
A52,1350,359
A53,1380,360
A54,1400,362
A55,1430,363
A56,1460,369
A57,1480,375
A58,1510,380
A59,1530,383
A60,1560,389
A61,1580,397
A62,1610,401
A63,1630,404
A64,1660,409
A65,1680,438
A66,1710,467